,Código Ponto,Data Coleta,Coliformes Termotolerantes,pH,"DBO (5, 20)",Nitrogênio Total,Fósforo Total,Temperatura da Água,Turbidez,Sólido Total,Oxigênio Dissolvido,q1,q2,q3,q4,q5,q6,q7,q8,q9,WQI
0,BILL02900,2010-01-28,70.0,7.5,4.0,1.93,0.07,25.9,5.4,112.0,6.5,43.643439903376745,92.23125000000005,61.04912732152012,85.37327691,82.06532084774574,94,86.85279,84.694128,90.79221835155707,76.63044433164067
1,RGDE02200,2010-01-28,740.0,7.2,3.0,1.27,0.04,25.0,4.33,100.0,7.8,22.962713813060052,92.37119999999999,69.05834354704467,90.11875611,89.28164110839506,94,89.31667097500001,85.47,98.38605568127299,72.64879423783425
2,BILL02100,2010-01-28,400.0,7.2,7.0,2.97,0.05,25.5,5.6,114.0,5.3,27.62825305844525,92.37119999999999,43.283734664856375,78.43638331,86.80831644495646,94,86.40184,84.53435200000001,75.56430108645233,66.7911441038885
3,BITQ00100,2010-01-28,9.0,8.3,5.0,1.8599999999999999,0.04,26.0,21.7,122.0,9.0,68.03287593378262,83.19999999999999,53.96880022441068,85.86395164,89.28164110839506,94,60.0070975,83.80820800000001,88.15422613112865,77.82470020540075
4,BILL02030,2010-01-28,2500.0,7.0,3.0,3.26,0.09,25.6,6.37,104.0,2.5,15.24800511905088,91.54169999999976,69.05834354704467,76.62004284000001,77.58147101163756,94,84.693877975,85.246192,23.743293697699624,51.76602250426265
5,RGDE02900,2010-01-28,81.0,7.5,3.0,2.25,0.03,25.2,5.53,100.0,7.8,42.14375394088741,92.23125000000005,69.05834354704467,83.16836875,91.82543522846287,94,86.559328975,85.47,98.21053251433972,78.9257924226672
6,BILL02500,2010-01-28,240.0,7.0,6.0,2.79,0.04,25.3,3.52,116.0,3.2,31.89369577021627,91.54169999999976,48.14661825589101,79.58964619,89.28164110839506,94,91.23933760000001,84.365872,32.89768044604391,60.32637827780487
7,RGDE02900,2010-03-17,59.0,7.6,3.0,1.46,0.02,24.6,4.06,100.0,7.3,45.436905678779766,91.79679999999996,69.05834354704467,88.72531644,94.44170660639645,94,89.9520559,85.47,96.73998823969752,80.56105882183223
8,BILL02900,2010-03-17,10.0,7.6,4.0,1.15,0.04,24.7,6.6,100.0,6.1,66.5,91.79679999999996,61.04912732152012,91.01020274999999,89.28164110839506,94,84.19239,85.47,85.97028320310858,81.89071292255319
9,BILL02030,2010-03-17,86.0,7.0,8.0,4.13,0.12,24.6,9.59,118.0,1.8,41.53668611408475,91.54169999999976,39.0713132937054,71.47973571,71.31083424732728,94,78.036495775,84.188688,15.636380116297902,51.73670460720494
10,BITQ00100,2010-03-17,2.0,8.1,4.0,1.3,0.03,25.4,16.4,112.0,6.6,89.91549514525663,86.4,61.04912732152012,89.897271,91.82543522846287,94,66.53524,84.694128,91.20758374528548,84.38906513236206
11,BILL02100,2010-03-17,1120.0,7.0,9.0,2.16,0.06,24.5,5.92,100.0,2.9,20.11000167385003,91.54169999999976,35.355694315978425,83.78216704,84.40350905802433,94,85.6866016,85.47,28.132029214513093,52.9125064443415
12,RGDE02200,2010-03-17,64.0,6.9,4.0,1.27,0.06,25.1,11.2,100.0,2.0,44.57857370782422,89.75791299999992,61.04912732152012,90.11875611,84.40350905802433,94,75.00136,85.47,17.82607030690023,57.938338580272514
13,BILL02500,2010-03-17,2.0,7.5,5.0,0.8700000000000001,0.04,25.0,5.96,102.0,5.8,89.91549514525663,92.23125000000005,53.96880022441068,93.12450571,89.28164110839506,94,85.59774039999999,85.362448,82.70699124297144,84.42104802218977
14,BILL02500,2010-05-13,19.0,7.2,4.0,1.6,0.02,21.4,5.8,100.0,5.8,58.32927443960972,92.37119999999999,61.04912732152012,87.71270399999999,94.44170660639645,94,85.95391,85.47,76.81223007789674,79.11525847502674
15,RGDE02200,2010-05-13,66.0,7.1,3.0,1.08,0.02,19.6,3.53,100.0,6.8,44.25622887715529,92.03005000000013,69.05834354704467,91.53428176,94.44170660639645,94,91.215298975,85.47,86.69753753008251,79.12041233889659
16,BITQ00100,2010-05-13,5.0,7.4,4.0,0.9,0.02,20.8,7.43,100.0,6.9,76.58450485474337,92.47180000000003,61.04912732152012,92.89567899999999,94.44170660639645,94,82.41588497500001,85.47,88.76921158728723,84.67778537370381
17,BILL02900,2010-05-13,9.0,7.4,3.0,1.1600000000000001,0.02,20.7,6.66,100.0,6.8,68.03287593378262,92.47180000000003,69.05834354704467,90.93557904000001,94.44170660639645,94,84.06222389999999,85.47,87.92794814747853,84.03648041918738
18,RGDE02900,2010-05-13,69.0,6.8,3.0,0.8200000000000001,0.02,20.9,3.16,100.0,3.8,43.792854896413225,87.71579199999996,69.05834354704467,93.50710715999999,94.44170660639645,94,92.1097564,85.47,37.3788548881277,68.2733220003973
19,BILL02100,2010-05-13,83.0,7.1,11.0,2.7199999999999998,0.1,21.3,9.2,114.0,4.6,41.89595722749015,92.03005000000013,29.025276355720763,80.04349056000001,75.43227031038737,94,78.80116000000001,84.53435200000001,53.518078648948304,63.15481575411809
20,BILL02030,2010-05-13,460.0,7.1,15.0,2.22,0.16,21.2,22.7,100.0,4.4,26.52309480907649,92.03005000000013,19.241035940969354,83.37241755999999,63.731214318419624,94,59.013197500000004,85.47,49.03849897911756,53.83945122635198
21,BILL02500,2010-07-29,1.0,8.3,3.0,1.1600000000000001,0.07,21.0,4.99,152.0,9.7,100.0,83.19999999999999,69.05834354704467,90.93557904000001,82.06532084774574,94,87.786678775,80.51616,89.64772133310377,86.85906663953592
22,BILL02030,2010-07-29,272.0,7.3,52.0,3.07,0.36,19.4,53.1,144.0,7.4,30.81572800880409,92.51845000000014,2.0,77.80424691,37.92644773704576,94,35.932492060728606,81.093232,91.20602686563797,44.05907304740417
23,BILL02100,2010-07-29,29.0,9.2,9.0,1.9900000000000002,0.2,19.8,48.1,126.0,15.6,53.31367279021942,39.60000000000002,35.355694315978425,84.95508459,56.95723127306655,94,38.96531757376327,83.392912,50.0,55.09995563520244
24,RGDE02200,2010-07-29,6.0,7.8,3.0,1.3800000000000001,0.08,20.3,3.19,100.0,10.0,73.93193311214793,90.34620000000007,69.05834354704467,89.30933595999998,79.79190629637895,94,92.03684777500001,85.47,88.32389975259476,83.95552904528206
25,RGDE02900,2010-07-29,140.0,8.1,3.0,0.97,0.07,20.4,2.0,100.0,9.5,36.779374617659656,86.4,69.05834354704467,92.36389131,82.06532084774574,94,94.981,85.47,92.02265804293279,76.39079634205238
26,BILL02900,2010-07-29,1.0,8.8,3.0,1.16,0.06,19.8,6.17,100.0,10.4,100.0,56.65960627217707,69.05834354704467,90.93557904000001,84.40350905802433,94,85.133200975,85.47,85.91408009724259,82.77145950511978
27,BILL02500,2010-09-22,15.0,7.3,4.0,1.6099999999999999,0.06,20.0,6.34,128.0,8.9,61.23916860831322,92.51845000000014,61.04912732152012,87.64083339,84.40350905802433,94,84.7595839,83.17220800000001,96.55925830113445,81.66905992962532
28,BILL02900,2010-09-22,1.0,7.6,10.0,1.17,0.03,19.8,6.15,100.0,9.3,100.0,91.79679999999996,32.03195988088193,90.86101651000001,91.82543522846287,94,85.177299375,85.47,94.25637752708504,83.20479070706274
29,RGDE02200,2010-09-22,84.0,7.7,5.0,1.3800000000000001,0.08,20.4,4.57,100.0,8.9,41.774585514485366,91.16845,53.96880022441068,89.30933595999998,79.79190629637895,94,88.75650497500001,85.47,96.11882188873261,76.13938229565997
30,BILL02030,2010-09-22,560.0,6.6,13.0,3.27,0.27,19.7,53.4,162.0,7.9,25.012655502896298,82.85654799999986,23.755338084711127,76.55832810999999,46.78892351374837,94,35.75821945338373,79.12446,95.75883396024687,55.35552611161274
31,BITQ00100,2010-09-22,16.0,6.9,3.0,1.17,0.05,19.5,7.57,196.0,7.9,60.43716719632174,89.75791299999992,69.05834354704467,90.86101651000001,86.80831644495646,94,82.121359975,74.39268000000001,95.48939956553227,81.65145397841094
32,BILL02100,2010-09-22,104.0,6.7,7.0,2.38,0.12,19.2,18.2,198.0,6.6,39.64291273526379,85.4153369999998,43.283734664856375,82.29051996000001,71.31083424732728,94,64.08031000000001,74.11434,84.09060565666576,67.70833690174354
33,RGDE02900,2010-09-22,19.0,8.1,3.0,1.0899999999999999,0.04,20.8,2.74,100.0,8.9,58.32927443960972,86.4,69.05834354704467,91.45922979,89.28164110839506,94,93.13761190000001,85.47,95.66770647901969,82.89020667741553
34,BILL02100,2010-11-04,28.0,9.8,36.0,9.02,0.47,25.0,126.0,182.0,15.8,53.72064055682313,23.399999999999977,2.0,51.203766359999996,32.951524744517044,94,5.0,76.34106,50.0,29.466174971862326
35,BILL02900,2010-11-04,5.0,9.1,3.0,0.95,0.03,21.6,8.58,100.0,9.4,76.58450485474337,42.30000000000001,69.05834354704467,92.51552475000001,91.82543522846287,94,80.04041910000001,85.47,91.15004674255198,77.96553431890716
36,BILL02030,2010-11-04,320.0,8.9,17.0,5.54,0.23,24.0,36.8,144.0,10.3,29.447844915209007,50.5009195700097,15.289817461847367,64.13230044,52.35357908966519,94,46.796094916810226,81.093232,79.15231374014988,50.3713544864317
37,RGDE02200,2010-11-04,16.0,9.2,3.0,2.0300000000000002,0.06,27.3,10.1,100.0,8.4,60.43716719632174,39.60000000000002,69.05834354704467,84.67751331,84.40350905802433,94,77.0538775,85.47,91.63453675569929,73.21583445168298
38,BITQ00100,2010-11-04,1.0,8.8,3.0,1.22,0.04,24.1,0.989,110.0,9.2,100.0,56.65960627217707,69.05834354704467,90.48912156,89.28164110839506,94,97.56629406775,84.8452,89.16813801992465,84.59270190469951
39,RGDE02900,2010-11-04,7.0,9.1,3.0,1.4200000000000002,0.03,23.7,6.67,100.0,8.5,71.6892156595224,42.30000000000001,69.05834354704467,89.01683676,91.82543522846287,94,84.040555975,85.47,95.11500978624716,77.76127702225008
40,BILL02500,2010-11-04,3.0,9.5,6.0,1.87,0.04,24.0,25.2,110.0,11.0,84.0164379668913,31.5,48.14661825589101,85.79367171,89.28164110839506,94,56.47450839514642,84.8452,50.0,63.9302336958657
